sample_id	location_info	parsed_city	parsed_country	parsed_latitude	parsed_longitude
NUS117	Fayetteville, NY (43.03019195435349, -76.00529981907906)	Fayetteville	NY	43.03019195435349	-76.00529981907906
NUS56	Watertown, NY (43.97220901759966, -75.9065778212551)	Watertown	NY	43.97220901759966	-75.9065778212551
NUS57	Watertown, NY (43.97220901759966, -75.9065778212551)	Watertown	NY	43.97220901759966	-75.9065778212551
NUS7	Fayetteville, NY (43.03019195435349, -76.00529981907906)	Fayetteville	NY	43.03019195435349	-76.00529981907906
NUS79	Watertown, NY (43.97220901759966, -75.9065778212551)	Watertown	NY	43.97220901759966	-75.9065778212551
NUS81	Watertown, NY (43.97220901759966, -75.9065778212551)	Watertown	NY	43.97220901759966	-75.9065778212551
NUS82	Watertown, NY (43.97220901759966, -75.9065778212551)	Watertown	NY	43.97220901759966	-75.9065778212551
NUS83	Watertown, NY (43.97220901759966, -75.9065778212551)	Watertown	NY	43.97220901759966	-75.9065778212551
SUS1	UK North Farm, KY (38.104316835223905, -84.4868273170384)	UK North Farm	KY	38.104316835223905	-84.4868273170384
SUS115	Princeton, KY (37.10863029411903, -87.88250832261102)	Princeton	KY	37.10863029411903	-87.88250832261102
SUS29	UK North Farm, KY (38.104316835223905, -84.4868273170384)	UK North Farm	KY	38.104316835223905	-84.4868273170384
SUS30	UK North Farm, KY (38.104316835223905, -84.4868273170384)	UK North Farm	KY	38.104316835223905	-84.4868273170384
SUS40	Blacksburg, VA (37.23003637882756, -80.41828751521994)	Blacksburg	VA	37.23003637882756	-80.41828751521994
SUS5	UK Tobacco Farm, KY (38.02660914811917, -84.50843070169974)	UK Tobacco Farm	KY	38.02660914811917	-84.50843070169974
SUS66	Blacksburg, VA (37.23003637882756, -80.41828751521994)	Blacksburg	VA	37.23003637882756	-80.41828751521994
SUS67	Blacksburg, VA (37.23003637882756, -80.41828751521994)	Blacksburg	VA	37.23003637882756	-80.41828751521994
SUS72	UK Tobacco Farm, KY (38.02660914811917, -84.50843070169974)	UK Tobacco Farm	KY	38.02660914811917	-84.50843070169974
SUS77	Princeton, KY (37.10863029411903, -87.88250832261102)	Princeton	KY	37.10863029411903	-87.88250832261102
SVK1	Nová Sedlica, SVK (49.0445542N, 22.5163433E)	Nová Sedlica	SVK	49.0445542	22.5163433
SVK2	Nová Sedlica, SVK (49.0445542N, 22.5163433E)	Nová Sedlica	SVK	49.0445542	22.5163433
SVK3	Nová Sedlica, SVK (49.0445542N, 22.5163433E)	Nová Sedlica	SVK	49.0445542	22.5163433
SVK4	Nová Sedlica, SVK (49.0445542N, 22.5163433E)	Nová Sedlica	SVK	49.0445542	22.5163433
WUS1	Sacramento, CA (38.57989607729144, -121.50981815811458)	Sacramento	CA	38.57989607729144	-121.50981815811458
WUS10	Sacramento, CA (38.57989607729144, -121.50981815811458)	Sacramento	CA	38.57989607729144	-121.50981815811458
WUS2	Sacramento, CA (38.57989607729144, -121.50981815811458)	Sacramento	CA	38.57989607729144	-121.50981815811458
WUS3	Sacramento, CA (38.57989607729144, -121.50981815811458)	Sacramento	CA	38.57989607729144	-121.50981815811458
WUS4	Sacramento, CA (38.57989607729144, -121.50981815811458)	Sacramento	CA	38.57989607729144	-121.50981815811458
WUS5	Sacramento, CA (38.57989607729144, -121.50981815811458)	Sacramento	CA	38.57989607729144	-121.50981815811458
WUS6	Sacramento, CA (38.57989607729144, -121.50981815811458)	Sacramento	CA	38.57989607729144	-121.50981815811458
WUS7	Sacramento, CA (38.57989607729144, -121.50981815811458)	Sacramento	CA	38.57989607729144	-121.50981815811458
WUS8	Sacramento, CA (38.57989607729144, -121.50981815811458)	Sacramento	CA	38.57989607729144	-121.50981815811458
WUS9	Sacramento, CA (38.57989607729144, -121.50981815811458)	Sacramento	CA	38.57989607729144	-121.50981815811458
